transaction_id,user_id,merchant_name,amount,category,category_confidence,timestamp
txn_karan_0001,usr_karan,Swiggy,890,food,0.95,2026-04-01T19:30:00Z
txn_karan_0002,usr_karan,H&M,2200,shopping,0.93,2026-04-01T15:00:00Z
txn_karan_0003,usr_karan,Uber,340,transport,0.96,2026-04-02T20:15:00Z
txn_karan_0004,usr_karan,BookMyShow,750,entertainment,0.94,2026-04-02T18:00:00Z
txn_karan_0005,usr_karan,Zepto,480,groceries,0.95,2026-04-03T17:30:00Z
txn_karan_0006,usr_karan,Zomato,1150,food,0.96,2026-04-03T20:45:00Z
txn_karan_0007,usr_karan,Ajio,1800,shopping,0.93,2026-04-04T16:00:00Z
txn_karan_0008,usr_karan,Ola Cab,420,transport,0.95,2026-04-04T21:00:00Z
txn_karan_0009,usr_karan,PVR Cinemas,650,entertainment,0.95,2026-04-05T19:00:00Z
txn_karan_0010,usr_karan,Swiggy,740,food,0.95,2026-04-05T20:30:00Z
txn_karan_0011,usr_karan,Nykaa,980,shopping,0.92,2026-04-06T16:30:00Z
txn_karan_0012,usr_karan,Airtel Postpaid,699,bills,0.98,2026-04-06T10:00:00Z
txn_karan_0013,usr_karan,Blinkit,520,groceries,0.94,2026-04-07T18:00:00Z
txn_karan_0014,usr_karan,Zomato,1340,food,0.96,2026-04-07T21:15:00Z
txn_karan_0015,usr_karan,Uber,280,transport,0.96,2026-04-08T19:30:00Z
txn_karan_0016,usr_karan,Myntra,2600,shopping,0.93,2026-04-08T15:45:00Z
txn_karan_0017,usr_karan,Swiggy,920,food,0.95,2026-04-09T20:00:00Z
txn_karan_0018,usr_karan,BookMyShow,820,entertainment,0.94,2026-04-09T17:30:00Z
txn_karan_0019,usr_karan,Zepto,390,groceries,0.95,2026-04-10T18:30:00Z
txn_karan_0020,usr_karan,Netflix,649,subscription,0.99,2026-04-10T09:00:00Z
txn_karan_0021,usr_karan,Ola Cab,360,transport,0.95,2026-04-11T20:00:00Z
txn_karan_0022,usr_karan,Zomato,1080,food,0.96,2026-04-11T21:30:00Z
txn_karan_0023,usr_karan,Amazon,2150,shopping,0.92,2026-04-12T16:00:00Z
txn_karan_0024,usr_karan,PVR Cinemas,560,entertainment,0.95,2026-04-12T19:30:00Z
txn_karan_0025,usr_karan,Blinkit,445,groceries,0.94,2026-04-13T17:45:00Z
txn_karan_0026,usr_karan,Swiggy,870,food,0.95,2026-04-13T20:15:00Z
txn_karan_0027,usr_karan,Dominos,640,food,0.96,2026-04-14T20:00:00Z
txn_karan_0028,usr_karan,Uber,310,transport,0.96,2026-04-14T21:00:00Z
txn_karan_0029,usr_karan,BESCOM Electricity,1250,bills,0.95,2026-04-15T10:30:00Z
txn_karan_0030,usr_karan,H&M,1950,shopping,0.93,2026-04-15T16:30:00Z
txn_karan_0031,usr_karan,Zomato,1200,food,0.96,2026-04-16T21:00:00Z
txn_karan_0032,usr_karan,BookMyShow,720,entertainment,0.94,2026-04-16T18:30:00Z
txn_karan_0033,usr_karan,Zepto,460,groceries,0.95,2026-04-16T17:00:00Z
txn_karan_0034,usr_karan,Swiggy,980,food,0.95,2026-04-17T20:30:00Z
txn_karan_0035,usr_karan,Ajio,2100,shopping,0.93,2026-04-17T16:00:00Z
txn_karan_0036,usr_karan,Ola Cab,390,transport,0.95,2026-04-17T21:15:00Z
txn_karan_0037,usr_karan,Spotify,299,subscription,0.99,2026-04-17T09:00:00Z
txn_karan_0038,usr_karan,Zomato,1100,food,0.96,2026-04-17T21:45:00Z
txn_karan_0039,usr_karan,Blinkit,380,groceries,0.94,2026-04-17T18:00:00Z
txn_karan_0040,usr_karan,PVR Cinemas,700,entertainment,0.95,2026-04-17T20:00:00Z
txn_karan_0041,usr_karan,Nykaa,1100,shopping,0.92,2026-04-17T17:00:00Z
txn_karan_0042,usr_karan,Dominos,580,food,0.96,2026-04-17T21:00:00Z
txn_karan_0043,usr_karan,Uber,290,transport,0.96,2026-04-17T20:45:00Z
txn_karan_0044,usr_karan,Amazon,1890,shopping,0.92,2026-04-17T15:30:00Z
txn_karan_0045,usr_karan,Swiggy,1050,food,0.95,2026-04-17T22:00:00Z
